bean_id,rating,aroma,acidity,body,flavor,aftertaste
544,93,9.0,9.0,8.0,9.0,8.0
545,96,9.0,9.0,9.0,10.0,9.0
546,94,9.0,9.0,9.0,9.0,8.0
547,94,9.0,9.0,9.0,9.0,8.0
548,93,9.0,9.0,8.0,9.0,8.0
549,94,9.0,9.0,8.0,9.0,9.0
550,93,9.0,8.0,9.0,9.0,8.0
551,93,9.0,9.0,8.0,9.0,8.0
552,94,9.0,9.0,8.0,9.0,9.0
553,94,9.0,9.0,9.0,9.0,8.0
554,94,9.0,9.0,9.0,9.0,8.0
555,92,9.0,8.0,8.0,9.0,8.0
556,93,9.0,8.0,9.0,9.0,8.0
557,93,9.0,8.0,9.0,9.0,8.0
558,90,8.0,8.0,8.0,8.0,8.0
559,94,9.0,9.0,9.0,9.0,8.0
560,93,9.0,8.0,9.0,9.0,8.0
561,92,9.0,8.0,8.0,9.0,8.0
562,95,9.0,9.0,9.0,9.0,9.0
563,91,8.0,8.0,8.0,9.0,8.0
564,91,8.0,8.0,8.0,9.0,8.0
565,93,9.0,8.0,9.0,9.0,8.0
566,94,9.0,9.0,9.0,9.0,8.0
567,93,9.0,9.0,8.0,9.0,8.0
568,94,9.0,9.0,9.0,9.0,8.0
569,95,9.0,9.0,9.0,9.0,9.0
570,92,9.0,8.0,8.0,9.0,8.0
571,94,9.0,9.0,9.0,9.0,8.0
572,94,9.0,9.0,9.0,9.0,8.0
573,93,9.0,8.0,9.0,9.0,8.0
574,94,9.0,9.0,9.0,9.0,8.0
575,92,9.0,8.0,8.0,9.0,8.0
576,95,9.0,9.0,9.0,9.0,9.0
